sigla_uf,nome_municipio,codigo_ibge,capital,descricao_cor_raca,n,candidaturas
BA,BARRO PRETO,2903300,0,PARDA,1,2
BA,BARRO PRETO,2903300,0,PRETA,1,2
BA,BARROCAS,2903276,0,BRANCA,1,2
BA,BARROCAS,2903276,0,PARDA,1,2
BA,BELMONTE,2903409,0,PARDA,3,3
BA,BELO CAMPO,2903508,0,BRANCA,1,3
BA,BELO CAMPO,2903508,0,PARDA,2,3
BA,BIRITINGA,2903607,0,PARDA,5,5
BA,BOA NOVA,2903706,0,BRANCA,2,4
BA,BOA NOVA,2903706,0,PARDA,1,4
BA,BOA NOVA,2903706,0,PRETA,1,4
BA,BOA VISTA DO TUPIM,2903805,0,PARDA,3,4
